education,2011,2012,2013,2014,2015,2016
Secondary or Less,6995,4585,5955,6690,11200,20135
Formal Trade Cert. or Apprenticeship,335,270,340,165,415,575
Non-University Certificate or Diploma,425,280,355,310,560,900
Some University - No Degree,125,85,105,225,540,855
Bachelor's Degree,555,335,420,525,1255,1925
Some Post-Grad. Education - No Degree,10,10,50,35,100,165
Master's Degree,25,40,45,75,130,190
Doctorate,10,10,10,20,30,40
None ,4475,4035,4930,4830,5255,8450
Unknown,0,0,0,0,565,3215
